Campaign_ID,Platform,Budget,Impressions,Clicks,Engagement,Leads,Conversions,Revenue,Audience,Location,Campaign_Duration_Days,Objective,CTR,Conversion_Rate,CPC,ROI
CAMP_0001,Instagram,8948.19,43842,1370,3624,63,24,81435.73,45-54,Delhi,26,Website Traffic,3.12,1.75,6.53,810.08
CAMP_0002,LinkedIn,24645.78,53830,791,1161,34,27,52729.39,35-44,Bangalore,25,Brand Awareness,1.47,3.41,31.16,113.95
CAMP_0003,Facebook,92881.13,656460,23526,46167,826,328,911356.65,45-54,Mumbai,18,Brand Awareness,3.58,1.39,3.95,881.21
CAMP_0004,Facebook,39780.75,247857,7081,15523,432,241,659739.1,25-34,Chennai,12,Brand Awareness,2.86,3.4,5.62,1558.44
CAMP_0005,Google Ads,14845.49,39613,1698,3657,174,127,279397.43,25-34,Hyderabad,24,Lead Generation,4.29,7.48,8.74,1782.04
CAMP_0006,Google Ads,71728.51,227376,12689,32708,573,224,780229.71,18-24,Coimbatore,11,Brand Awareness,5.58,1.77,5.65,987.75
CAMP_0007,Google Ads,33448.48,111371,5904,9122,431,160,489390.61,55+,Delhi,11,Sales,5.3,2.71,5.67,1363.12
CAMP_0008,YouTube,30541.41,129992,2611,3867,74,38,103732.29,45-54,Delhi,19,Brand Awareness,2.01,1.46,11.7,239.64
CAMP_0009,Facebook,99807.86,608880,18817,30209,929,664,2946979.09,18-24,Hyderabad,19,Website Traffic,3.09,3.53,5.3,2852.65
CAMP_0010,Facebook,86523.2,502800,13573,35649,622,380,1627932.76,55+,Hyderabad,19,Website Traffic,2.7,2.8,6.37,1781.5
CAMP_0011,Google Ads,43754.09,131676,6844,18517,433,242,1050175.71,45-54,Chennai,26,Website Traffic,5.2,3.54,6.39,2300.18
CAMP_0012,LinkedIn,98124.81,206445,4627,9769,296,224,912299.64,35-44,Mumbai,14,Lead Generation,2.24,4.84,21.21,829.73
CAMP_0013,YouTube,66760.76,314035,4530,9070,191,140,254598.29,45-54,Bangalore,15,Sales,1.44,3.09,14.74,281.36
CAMP_0014,Google Ads,75492.13,267209,14561,31577,1025,762,1645854.25,25-34,Delhi,14,Brand Awareness,5.45,5.23,5.18,2080.17
CAMP_0015,Google Ads,7993.74,25095,1611,3522,121,70,121225.76,25-34,Delhi,16,Sales,6.42,4.35,4.96,1416.51
CAMP_0016,Google Ads,16552.5,45347,2776,4088,234,84,373819.89,35-44,Hyderabad,12,Sales,6.12,3.03,5.96,2158.39
CAMP_0017,Instagram,65143.09,435139,16481,37878,526,229,331954.45,18-24,Mumbai,25,Website Traffic,3.79,1.39,3.95,409.58
CAMP_0018,Instagram,90407.28,525684,22943,44137,1335,962,2135103.51,55+,Delhi,21,Website Traffic,4.36,4.19,3.94,2261.65
CAMP_0019,Instagram,64255.65,379436,15855,32151,522,379,612676.21,45-54,Bangalore,4,Website Traffic,4.18,2.39,4.05,853.5
CAMP_0020,Instagram,17732.36,98011,2484,3101,86,72,122719.23,25-34,Hyderabad,6,Lead Generation,2.53,2.9,7.14,592.06
CAMP_0021,Facebook,15997.2,101844,2025,4907,86,38,68001.62,18-24,Bangalore,21,Sales,1.99,1.88,7.9,325.08
CAMP_0022,Google Ads,85197.66,258962,15081,38256,1385,570,1825604.23,35-44,Mumbai,9,Sales,5.82,3.78,5.65,2042.79
CAMP_0023,Instagram,18233.72,108622,2629,5760,104,44,51646.22,25-34,Delhi,28,Lead Generation,2.42,1.67,6.94,183.25
CAMP_0024,Instagram,54422.04,290797,6079,14577,275,122,361255.12,35-44,Coimbatore,17,Lead Generation,2.09,2.01,8.95,563.8
CAMP_0025,Instagram,8525.77,49220,1665,3390,65,40,153977.22,45-54,Delhi,17,Lead Generation,3.38,2.4,5.12,1706.02
CAMP_0026,YouTube,12663.63,62026,1435,3142,66,55,201271.71,55+,Mumbai,26,Sales,2.31,3.83,8.82,1489.37
CAMP_0027,Google Ads,68873.09,236681,17027,31182,1257,810,1169816.67,25-34,Delhi,8,Sales,7.19,4.76,4.04,1598.51
CAMP_0028,Instagram,70472.23,423834,15439,38088,399,244,1023100.36,25-34,Delhi,5,Website Traffic,3.64,1.58,4.56,1351.78
CAMP_0029,Facebook,37439.59,214836,8094,15777,611,420,1542376.66,45-54,Chennai,8,Website Traffic,3.77,5.19,4.63,4019.64
CAMP_0030,Google Ads,25482.93,89654,5247,12007,353,137,125915.2,18-24,Delhi,18,Sales,5.85,2.61,4.86,394.12
CAMP_0031,Facebook,82302.48,541726,12066,26476,616,467,1659972.55,55+,Delhi,4,Website Traffic,2.23,3.87,6.82,1916.92
CAMP_0032,Google Ads,25624.81,82035,5180,12037,329,222,789147.41,25-34,Bangalore,30,Lead Generation,6.31,4.29,4.95,2979.62
CAMP_0033,Google Ads,56492.57,182483,12447,30574,1114,485,1303940.88,55+,Coimbatore,9,Brand Awareness,6.82,3.9,4.54,2208.16
CAMP_0034,LinkedIn,96979.84,212780,4100,8283,180,120,127864.4,25-34,Bangalore,13,Website Traffic,1.93,2.93,23.65,31.85
CAMP_0035,LinkedIn,19045.98,40744,925,2313,78,51,152370.73,55+,Bangalore,28,Sales,2.27,5.51,20.59,700.02
CAMP_0036,YouTube,94383.25,416367,8550,17062,266,102,372982.21,35-44,Hyderabad,9,Website Traffic,2.05,1.19,11.04,295.18
CAMP_0037,Instagram,22374.84,137114,4819,13159,280,135,253144.79,25-34,Chennai,6,Website Traffic,3.51,2.8,4.64,1031.38
CAMP_0038,Google Ads,58907.1,185278,9871,23733,903,493,1627612.67,55+,Bangalore,26,Website Traffic,5.33,4.99,5.97,2663.02
CAMP_0039,Facebook,40815.73,260848,10431,15373,562,266,578319.72,18-24,Mumbai,22,Brand Awareness,4.0,2.55,3.91,1316.9
CAMP_0040,Instagram,96668.22,539630,19883,50251,1074,506,1500733.96,35-44,Mumbai,9,Lead Generation,3.68,2.54,4.86,1452.46
CAMP_0041,Google Ads,30986.49,91659,4028,8388,391,249,568824.74,35-44,Delhi,6,Sales,4.39,6.18,7.69,1735.72
CAMP_0042,Instagram,42967.51,197711,8437,23414,555,325,647900.92,18-24,Hyderabad,14,Brand Awareness,4.27,3.85,5.09,1407.89
CAMP_0043,Google Ads,98371.71,326317,15579,36612,816,558,2221561.0,55+,Chennai,7,Sales,4.77,3.58,6.31,2158.33
CAMP_0044,LinkedIn,55964.69,130960,2363,3155,151,125,451727.22,45-54,Chennai,25,Sales,1.8,5.29,23.68,707.16
CAMP_0045,Google Ads,52749.86,164692,9822,17993,858,584,1251872.26,18-24,Delhi,28,Sales,5.96,5.95,5.37,2273.22
CAMP_0046,Facebook,29488.96,168231,5177,10497,157,101,248932.06,55+,Mumbai,21,Brand Awareness,3.08,1.95,5.7,744.15
CAMP_0047,Instagram,71629.54,455908,15859,40320,507,392,1328931.86,18-24,Coimbatore,28,Lead Generation,3.48,2.47,4.52,1755.28
CAMP_0048,Instagram,6365.43,34398,876,2073,37,25,95497.09,18-24,Hyderabad,7,Sales,2.55,2.85,7.27,1400.25
CAMP_0049,Facebook,9703.7,61853,1884,3374,94,41,137908.77,25-34,Delhi,29,Lead Generation,3.05,2.18,5.15,1321.2
CAMP_0050,Google Ads,61939.07,182672,12037,27029,847,430,1224362.09,55+,Hyderabad,21,Lead Generation,6.59,3.57,5.15,1876.72
